date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:01	8596/8596	---M--	200	added ('OK')	image/jpeg	etag:%222194-5c2619dc49466%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto006.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto006.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=4&codigo=4&inicio=0)
12:10:01	6902/6902	---M--	200	added ('OK')	image/jpeg	etag:%221af6-5c2619dc61f0b%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto007.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto007.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=4&codigo=4&inicio=0)
12:10:01	6659/6659	---M--	200	added ('OK')	image/jpeg	etag:%221a03-5c2619dc6f047%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto008.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto008.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=4&codigo=4&inicio=0)
12:10:02	6082/6082	---M--	200	added ('OK')	image/jpeg	etag:%2217c2-5c2619dc76d1b%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto009.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto009.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=4&codigo=4&inicio=0)
12:10:02	5528/5528	---M--	200	added ('OK')	image/jpeg	etag:%221598-5c2619dc817c8%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto010.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto010.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=4&codigo=4&inicio=0)
12:10:02	3662/3662	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:10:03%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar.php?cod=4	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar4b05.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=4&codigo=4&inicio=0)
12:10:03	25119/25119	---M--	200	added ('OK')	image/jpeg	etag:%22621f-5c2619dc8cd4c%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto011.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto011.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=5&codigo=5&inicio=0)
12:10:03	33090/33090	---M--	200	added ('OK')	image/jpeg	etag:%228142-5c2619dc9c075%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto012.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto012.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=5&codigo=5&inicio=0)
12:10:03	4243/4243	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:10:04%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar.php?cod=5	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar6e1a.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=5&codigo=5&inicio=0)
12:10:04	28278/28278	---M--	200	added ('OK')	image/jpeg	etag:%226e76-5c2619dca8ba3%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto013.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto013.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=6&codigo=6&inicio=0)
12:10:04	30104/30104	---M--	200	added ('OK')	image/jpeg	etag:%227598-5c2619dcb2daa%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto014.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto014.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=6&codigo=6&inicio=0)
12:10:05	16007/16007	---M--	200	added ('OK')	image/jpeg	etag:%223e87-5c2619dcbf598%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto015.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto015.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=6&codigo=6&inicio=0)
12:10:05	13750/13750	---M--	200	added ('OK')	image/jpeg	etag:%2235b6-5c2619dcc5727%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto016.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto016.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=6&codigo=6&inicio=0)
12:10:05	3659/3659	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:10:06%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar.php?cod=6	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar17db.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=6&codigo=6&inicio=0)
12:10:05	17533/17533	---M--	200	added ('OK')	image/jpeg	etag:%22447d-5c2619dcd67dd%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto017.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto017.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=7&codigo=7&inicio=0)
12:10:06	19937/19937	---M--	200	added ('OK')	image/jpeg	etag:%224de1-5c2619dcdf53f%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto018.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto018.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=7&codigo=7&inicio=0)
12:10:06	16674/16674	---M--	200	added ('OK')	image/jpeg	etag:%224122-5c2619dcedf36%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto019.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto019.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=7&codigo=7&inicio=0)
12:10:06	17525/17525	---M--	200	added ('OK')	image/jpeg	etag:%224475-5c2619dcf60a2%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto020.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto020.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=7&codigo=7&inicio=0)
12:10:07	3633/3633	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:10:07%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar.php?cod=7	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar2e27.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=7&codigo=7&inicio=0)
12:10:07	40010/40010	---M--	200	added ('OK')	image/jpeg	etag:%229c4a-5c2619dd04a67%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto021.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto021.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=8&codigo=8&inicio=0)
12:10:07	4702/4702	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:10:08%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar.php?cod=8	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/ejecutarba0d.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=8&codigo=8&inicio=0)
12:10:07	21709/21709	---M--	200	added ('OK')	image/jpeg	etag:%2254cd-5c2619dd0c488%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto022.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto022.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=9&codigo=9&inicio=0)
12:10:08	3726/3726	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:10:08%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar.php?cod=9	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/ejecutare954.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=9&codigo=9&inicio=0)
12:10:08	12951/12951	---M--	200	added ('OK')	image/jpeg	etag:%223297-5c2619dd1648f%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto023.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto023.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=10&codigo=10&inicio=0)
12:10:09	3552/3552	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:10:09%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/ejecutar.php?cod=10	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/ejecutarada0.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=10&codigo=10&inicio=0)
12:10:09	22159/22159	---M--	200	added ('OK')	image/jpeg	etag:%22568f-5c2619dd247c7%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto024.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto024.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=11&codigo=11&inicio=0)
12:10:09	20029/20029	---M--	200	added ('OK')	image/jpeg	etag:%224e3d-5c2619dd2c3c5%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto025.jpg	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/imagentema/foto025.jpg	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=11&codigo=11&inicio=0)
